tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_count,barrio_te
apartamento,3300000,80.0,3,2,1,La América,6.251097,-75.60551,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-america-3-habitaciones-2-banos-1-garajes/MC6358033,6,13.333333333333334,26.666666666666668,6400.0,1,1,33378.37837837838,529285.7142857143,5292857.142857143,47.683397683397686,10.0,158.57142857142856,15.857142857142858,13,
apartamento,2200000,40.0,1,1,1,Laureles,6.2468295,-75.592575,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-1-habitaciones-1-banos-1-garajes/MC2781804,3,13.333333333333334,40.0,1600.0,1,1,38674.681256121534,734801.2889366273,3638829.787234043,55.24954465160219,4.952127659574468,94.08816489361703,18.999543501611175,271,
apartamento,3000000,60.0,2,2,1,La Castellana,6.2380376,-75.609886,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-castellana-2-habitaciones-2-banos-1-garajes/MC6431594,5,12.0,30.0,3600.0,1,1,35365.03444113791,766875.4512635379,5446782.051282051,50.52147777305416,7.102564102564102,154.01602564102564,21.684566787003607,85,
apartamento,2600000,52.0,3,2,1,Lorena,6.2494925,-75.601235,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-2-banos-1-garajes/21388-M6410336,6,8.666666666666666,17.333333333333332,2704.0,1,1,37418.959172945506,673659.3059936909,4271000.0,53.45565596135072,6.34,114.14,18.00315457413249,51,
casa,7800000,200.0,5,3,1,Las Acacias,6.23996,-75.60196,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-laureles-5-habitaciones-3-banos-1-garajes/17017-M6138486,9,22.22222222222222,40.0,40000.0,1,1,35486.92515779982,761218.5686653772,4741566.265060241,50.69560736828546,6.228915662650603,133.6144578313253,21.450676982591876,78,
casa,14000000,252.0,4,5,2,El Tesoro,6.20035,-75.56032,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/17017-M6395338,11,22.90909090909091,63.0,63504.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,5000000,126.0,3,2,2,Santa María de Los Ángeles,6.186334609985352,-75.57952117919922,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-2-garajes/20692-M6095608,7,18.0,42.0,15876.0,4,1,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,2600000,60.0,3,2,1,La Loma de Los Bernal,6.2189536,-75.6074419,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-los-bernal-3-habitaciones-2-banos-1-garajes/16509-M6448520,6,10.0,20.0,3600.0,1,1,39815.87301587302,586623.0121608981,3167171.717171717,56.879818594104314,5.398989898989898,79.54545454545453,14.733395696913004,172,
apartamento,9000000,240.0,5,5,3,San Lucas,6.1799393,-75.5694847,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-5-habitaciones-5-banos-3-garajes/11813-M6448171,13,18.46153846153846,48.0,57600.0,9,1,51309.5937989684,1088151.9507186858,4280533.117932148,73.29941971281201,3.9337641357027464,83.42558966074313,21.207572895277206,332,
apartamento,9000000,85.0,3,2,1,Los Balsos No.2,6.1957572,-75.5734831,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos-1-garajes/11813-M6212052,6,14.166666666666666,28.333333333333332,7225.0,1,1,49940.025395249206,920418.7898089172,3794461.7067833696,71.34289342178458,4.12253829321663,75.98037199124727,18.430483014861995,260,
apartamento,9100000,265.0,4,5,4,El Tesoro,6.2009649,-75.5585315,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-4-habitaciones-5-banos-4-garajes/11813-M6172400,13,20.384615384615383,66.25,70225.0,16,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,9100000,164.0,4,4,2,Las Lomas No.2,6.2086332,-75.5557588,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-4-habitaciones-4-banos-2-garajes/11813-M6173745,10,16.4,41.0,26896.0,4,1,47091.882247992864,965082.2669104205,4124218.75,67.27411749713266,4.2734375,87.578125,20.493601462522854,78,
apartamento,16000000,200.0,5,5,2,El Castillo,6.1872346878,-75.5679966515,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-5-habitaciones-5-banos-2-garajes/20775-M6321347,12,16.666666666666668,40.0,40000.0,4,1,55346.074557636144,1011521.1930926216,4078094.9367088606,79.06582079662307,4.031645569620253,73.68354430379746,18.27629513343799,89,
apartamento,7250000,135.0,3,3,2,Santa María de Los Ángeles,6.191286087036133,-75.57928466796875,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-3-banos-2-garajes/687-M5955699,8,16.875,45.0,18225.0,4,1,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,3600000,73.0,3,2,1,Los Ángeles,6.25425694,-75.56095236,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-angeles-3-habitaciones-2-banos-1-garajes/21388-M6479422,6,12.166666666666666,24.333333333333332,5329.0,1,1,28555.798687089715,501923.07692307694,6525000.0,40.793998124413875,13.0,228.5,17.576923076923077,4,
casa,14300000,400.0,5,5,4,El Tesoro,6.203789234161377,-75.5546875,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-5-habitaciones-5-banos-4-garajes/687-M4645899,14,28.571428571428573,80.0,160000.0,16,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,6300000,140.0,3,5,2,El Poblado,6.20832,-75.56557,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-5-banos-2-garajes/21891-M6384480,10,14.0,46.666666666666664,19600.0,4,1,55975.988001215745,1198166.0231660232,5215546.218487395,79.96569714459392,4.352941176470588,93.17470588235295,21.405000000000005,75,
apartamento,10000000,108.0,2,3,2,Los Balsos No.1,6.1868977546691895,-75.56021881103516,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M5722945,7,15.428571428571429,54.0,11664.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,6500000,157.0,5,3,3,Patio Bonito,6.2069,-75.57525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-5-habitaciones-3-banos-3-garajes/21891-M6384502,11,14.272727272727273,31.4,24649.0,9,1,44017.477033385614,752681.9923371647,3508035.714285714,62.88211004769373,4.660714285714286,79.69642857142857,17.099616858237546,162,
apartamento,14300000,242.0,3,4,4,El Tesoro,6.198575496673584,-75.55679321289062,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-4-garajes/687-M6061390,11,22.0,80.66666666666667,58564.0,16,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,3250000,60.0,2,2,1,Santa María de Los Ángeles,6.190206050872803,-75.57931518554688,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/687-M5058633,5,12.0,30.0,3600.0,1,1,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,6500000,142.0,5,4,1,El Tesoro,6.20339,-75.55958,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-5-habitaciones-4-banos-1-garajes/21891-M6384605,10,14.2,28.4,20164.0,1,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
